carto_table_name,canonical_folder_name,notes
mason_r1,R1,
mason_r3,R3,
"mason_r4",R4,
untitled_table_20,R5,
mason_r6,R6,
untitled_table_22,R7,
untitled_table_23,R8,
untitled_table_24,R9,
mason_r10,R10,
mason_r11,R11,
untitled_table_25,R12,
mason_r13,R13,
mason_r14,R14,
mason_r15,R15,
mason_r16,R16,
mason_r17,R17,
mason_r18,R18,
mason_r19,R19,
untitled_table_26,R20,
untitled_table_27,R21,
mason_r22,R22,
untitled_table_29,R23,
mason_r24,R24,
untitled_table_30,R25,
mason_r26,R26,
mason_r27,R27,
untitled_table_32,R28,
mason_r29,R29,
untitled_table_18,R30,
untitled_table_33,R31,
mason_r32,R32,
mason_r33,R33,
untitled_table_34,R34,
untitled_table_35,R35,
mason_r36,R36,
mason_r37,R37,
untitled_table_36,R38,
untitled_table_37,R39,
"mason_r40",R40,
untitled_table_38,R41,
mason_r42,R42,
untitled_table_39,R43,
untitled_table_40,R44,
mason_r45,R45,
untitled_table_41,R46,
untitled_table_42,R47,
untitled_table_43,R48,
mason_r49,R49,
mason_r50,R50,
untitled_table_44,R51,
mason_r52,R52,
untitled_table_45,R53,
untitled_table_46,R54,
mason_r55,R55,
untitled_table_21,R56,
mason_r57,R57 OS,
untitled_table_47,R58,
untitled_table_48,R59,
untitled_table_49,R60,
untitled_table_50,R61,
mason_r62,R62,
untitled_table_51,R63,
untitled_table_52,R64,
untitled_table_53,R65,
untitled_table_55,R66,
untitled_table_56,R67,
mason_r68,R68,
untitled_table_57,R69,
untitled_table_58,R70,
,R71,Can't find source table
mason_r72,R72,
mason_r73,R73,
mason_r74,R74,
mason_r75,R75,
untitled_table_61,R76,
untitled_table_60,R77,
mason_r78,R78,
untitled_table_62,R79,
untitled_table_63,R80,
untitled_table_64,R81,
untitled_table_65,R82,
untitled_table_66,R83,
untitled_table_67,R84,
untitled_table_68,R85,
untitled_table_69,R86,
,R87,Can't find source table
mason_r88,R88,
mason_r89,R89,
mason_r90,R90,
mason_r91,R91,
untitled_table_71,R92,
mason_r93,R93,
mason_r94,R94,
mason_r95,R95,
untitled_table_73,R96,
mason_r97,R97,
untitled_table_74,R98,
untitled_table_75,R99,
untitled_table_76,R100,
mason_r101,R101,
mason_r102,R102,
untitled_table_78,R103,
untitled_table_79,R104,
untitled_table_80,R105,
mason_r106,R106,
untitled_table_81,R107,
mason_r108,R108,
mason_r109,R109,
mason_r110,R110,
mason_r111,R111,
mason_r112,R112,
untitled_table_85,R113,
mason_r114,R114,
untitled_table_86,R115,
untitled_table_87,R116,
mason_r117,R117,
untitled_table_88,R118,
,R119,Can't find source table - shows mason_r120 but wrong this source table is for R120
mason_r120,R120,
mason_r121,R121,
untitled_table_90,R122,
untitled_table_91,R123,
mason_r124,R124,
untitled_table_92,R125,
untitled_table_93,R126,
mason_r127,R127,
mason_r128,R128,
untitled_table_95,R129,
mason_r130,R130,
mason_r131,R131,
mason_r132,R132,
untitled_table_94,R133,
untitled_table_96,R134,
,R135,Can't find source table - shows untitled_table_97 but wrong - this source table is for R136
untitled_table_97,R136,
untitled_table_98,R137,
untitled_table_99,R138,
untitled_table_100,R139,
untitled_table_101,R140,
mason_r141,R141,
mason_r142,R142,
untitled_table_102,R143,
,R144,Can't find source table - says source table is untitled_table_103 but this source table is for R145
untitled_table_103,R145,
untitled_table_105,R146,
untitled_table_107,R147,
untitled_table_108,R148,
untitled_table_109,R149,
mason_r150,R150,
untitled_table_110,R151,
untitled_table_111,R152,
mason_r153,R153,
untitled_table_112,R154,
untitled_table_113,R155,
untitled_table_114,R156,
untitled_table_115,R157,
untitled_table_116,R158,
untitled_table_117,R159,
untitled_table_118,R160,
untitled_table_119,R161,
untitled_table_120,R162,
untitled_table_121,R163,
untitled_table_122,R164,
untitled_table_123,R165,
untitled_table_124,R166,
untitled_table_125,R167,
untitled_table_126,R168,
untitled_table_127,R169,
untitled_table_128,R170,
untitled_table_129,R171,
,,Mason R172 does not exist.
untitled_table_130,R173,
untitled_table_131,R174,
untitled_table_132,R175,
untitled_table_133,R176,
untitled_table_134,R177,
untitled_table_135,R178,
untitled_table_136,R179,
untitled_table_137,R180,
untitled_table_138,R181,
untitled_table_139,R182,
untitled_table_140,R183,
untitled_table_141,R184,
untitled_table_142,R185,
untitled_table_143,R186,
untitled_table_144,R187,
untitled_table_145,R188,
untitled_table_146,R189,
untitled_table_147,R190,
untitled_table_148,R191,
untitled_table_149,R192,
untitled_table_150,R193,
untitled_table_151,R194,
untitled_table_152,R195,
untitled_table_153,R196,
untitled_table_154,R197,
untitled_table_155,R198,
untitled_table_156,R199,
mason_r200,R200,
mason_r201,R201,
mason_r202,R202,
mason_r203,R203,
mason_r204,R204,
,,Mason R205 does not exist. Catalogued as R154
mason_r206,R206,
mason_r207,R207,
mason_r208,R208,
mason_r209,R209,
mason_r210,R210,
mason_r211,R211,
mason_r212,R212,
mason_r213,R213,
mason_r214,R214,
mason_r215,R215,
mason_r216,R216,
mason_r217,R217,
mason_r218,R218,
mason_r219,R219,
mason_r220,R220,
mason_r221,R221,
mason_r222,R222,
mason_r223,R223,
mason_r224,R224,
mason_r225_1,R225,
,,Mason R226 does not exist.
,,Mason R227 does not exist.
mason_r228,R228,
,,Mason R229 through Mason R275 do not exist. Next folder is Mason R276
mason_r276,R276,
mason_u,U,
