id,title_info_primary_tsi,date_start_dtsi,date_start_tsim,subject_bbox_geospatial,subject_geojson_facet_ssim,filenames_ssim,exemplary_image_ssi
commonwealth:m900r871n,"Atlas of the city of Boston : Dorchester, Mass.",1894-01-01T00:00:00Z,1894,"ENVELOPE(-71.07350227813771\, -71.05873695807351\, 42.28733810449718\, 42.27818609944332)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-71.065052\,42.282925]}},{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-71.0667\,42.2833]}\,""properties"":{""placename"":""Dorchester\, MA""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-71.07350227813771\,42.27818609944332]\,[-71.05873695807351\,42.27818609944332]\,[-71.05873695807351\,42.28733810449718]\,[-71.07350227813771\,42.28733810449718]\,[-71.07350227813771\,42.27818609944332]]]}\,""bbox"":[-71.07350227813771\,42.27818609944332\,-71.05873695807351\,42.28733810449718]}",06_01_012995,commonwealth:m900rg33g
commonwealth:9g54xm12h,Map of Boston and its vicinity from actual survey,1820-01-01T00:00:00Z,1820,"ENVELOPE(-71.45\, -71.25\, 42.5\, 42.1)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-71.05\,42.35]}\,""properties"":{""placename"":""Boston\, MA""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-71.45\,42.1]\,[-71.25\,42.1]\,[-71.25\,42.5]\,[-71.45\,42.5]\,[-71.45\,42.1]]]}\,""bbox"":[-71.45\,42.1\,-71.25\,42.5]}",06_01_008257,commonwealth:9g54xm13s
commonwealth:9g54xk34b,Afrique,1800-01-01T00:00:00Z,1800,"ENVELOPE(-27.0\, 61.0\, 38.0\, -37.0)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[16.066\,2.383]}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-27.0\,-37.0]\,[61.0\,-37.0]\,[61.0\,38.0]\,[-27.0\,38.0]\,[-27.0\,-37.0]]]}\,""bbox"":[-27.0\,-37.0\,61.0\,38.0]}",06_01_008028,commonwealth:9g54xk35m
commonwealth:9s161f39w,Plan of East Boston,1834-01-01T00:00:00Z,1834,"ENVELOPE(-71.06674207908883\, -71.0029275879439\, 42.39765206641122\, 42.34839470165566)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-71.0333\,42.3667]}\,""properties"":{""placename"":""East Boston\, MA""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-71.06674207908883\,42.34839470165566]\,[-71.0029275879439\,42.34839470165566]\,[-71.0029275879439\,42.39765206641122]\,[-71.06674207908883\,42.39765206641122]\,[-71.06674207908883\,42.34839470165566]]]}\,""bbox"":[-71.06674207908883\,42.34839470165566\,-71.0029275879439\,42.39765206641122]}",06_01_003885,commonwealth:9s161f40n
commonwealth:7h14b354k,State of Idaho,1891-01-01T00:00:00Z,1891,"ENVELOPE(-118.47593403804863\, -109.68693220346667\, 49.90430152087224\, 41.2569181922633)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-115.0\,45.0]}\,""properties"":{""placename"":""Idaho""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-118.47593403804863\,41.2569181922633]\,[-109.68693220346667\,41.2569181922633]\,[-109.68693220346667\,49.90430152087224]\,[-118.47593403804863\,49.90430152087224]\,[-118.47593403804863\,41.2569181922633]]]}\,""bbox"":[-118.47593403804863\,41.2569181922633\,-109.68693220346667\,49.90430152087224]}",06_01_008809,commonwealth:7h14b355v
commonwealth:6t053p847,"The province of New Jersey, divided into east and west, commonly called the Jerseys",1777-01-01T00:00:00Z,1777,"ENVELOPE(-76.36995102536875\, -73.07214006833794\, 41.9001384795426\, 38.3796681270406)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-75.0\,40.0]}\,""properties"":{""placename"":""New Jersey""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-76.36995102536875\,38.3796681270406]\,[-73.07214006833794\,38.3796681270406]\,[-73.07214006833794\,41.9001384795426]\,[-76.36995102536875\,41.9001384795426]\,[-76.36995102536875\,38.3796681270406]]]}\,""bbox"":[-76.36995102536875\,38.3796681270406\,-73.07214006833794\,41.9001384795426]}",06_01_004072,commonwealth:6t053p85h
commonwealth:3f4630852,New Jersey,1806-01-01T00:00:00Z,1806,"ENVELOPE(-76.16101376195017\, -73.08590056184552\, 41.929500599384426\, 38.2292319943747)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-75.0\,40.0]}\,""properties"":{""placename"":""New Jersey""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-76.16101376195017\,38.2292319943747]\,[-73.08590056184552\,38.2292319943747]\,[-73.08590056184552\,41.929500599384426]\,[-76.16101376195017\,41.929500599384426]\,[-76.16101376195017\,38.2292319943747]]]}\,""bbox"":[-76.16101376195017\,38.2292319943747\,-73.08590056184552\,41.929500599384426]}",06_01_004676,commonwealth:3f463086b
commonwealth:hx11z1867,PLAN E L'ELEVATION DU FORT S.T JEAN,1748-01-01T00:00:00Z,1748,"ENVELOPE(-73.252778\, -73.25\, 45.297222\, 45.294167)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-73.2667\,45.3167]}\,""properties"":{""placename"":""Saint-Jean-sur-Richelieu\, Quebec""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-73.252778\,45.294167]\,[-73.25\,45.294167]\,[-73.25\,45.297222]\,[-73.252778\,45.297222]\,[-73.252778\,45.294167]]]}\,""bbox"":[-73.252778\,45.294167\,-73.25\,45.297222]}",add_ms_57712_16,commonwealth:hx11z187h
commonwealth:7h14b408p,State of Nebraska,1890-01-01T00:00:00Z,1890,"ENVELOPE(-105.31639091730248\, -93.9617071024139\, 44.49427245375217\, 38.701048577158005)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-100.0\,41.5]}\,""properties"":{""placename"":""Nebraska""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-105.31639091730248\,38.701048577158005]\,[-93.9617071024139\,38.701048577158005]\,[-93.9617071024139\,44.49427245375217]\,[-105.31639091730248\,44.49427245375217]\,[-105.31639091730248\,38.701048577158005]]]}\,""bbox"":[-105.31639091730248\,38.701048577158005\,-93.9617071024139\,44.49427245375217]}",06_01_008836,commonwealth:7h14b409z
commonwealth:7h14b070b,Septima Europa tabula continet Sardininiam & Sicilia insulas,1482-01-01T00:00:00Z,1482,"ENVELOPE(7.0\, 15.0\, 41.0\, 36.0)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[9.0\,40.0]}\,""properties"":{""placename"":""Sardegna\, Isola di""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[7.0\,36.0]\,[15.0\,36.0]\,[15.0\,41.0]\,[7.0\,41.0]\,[7.0\,36.0]]]}\,""bbox"":[7.0\,36.0\,15.0\,41.0]}",06_01_000847,commonwealth:7h14b071m
commonwealth:z603vg82g,"A new map of the province of Quebec,",1776-01-01T00:00:00Z,1776,"ENVELOPE(-75.1\, -61.38333\, 50.76666\, 45.1)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-65.0\,49.5]}\,""properties"":{""placename"":""Saint Lawrence River""}},{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-73.6\,45.5]}\,""properties"":{""placename"":""Montreal\, Quebec""}},{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-71.25\,46.8333]}\,""properties"":{""placename"":""Québec\, Quebec""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-75.1\,45.1]\,[-61.38333\,45.1]\,[-61.38333\,50.76666]\,[-75.1\,50.76666]\,[-75.1\,45.1]]]}\,""bbox"":[-75.1\,45.1\,-61.38333\,50.76666]}",478975_0001,commonwealth:6108vt493
commonwealth:6t053s02c,West India islands,1785-01-01T00:00:00Z,1785,"ENVELOPE(-105.39211000375492\, -40.22876873283771\, 36.215017528200015\, -0.7376305963084704)","{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-105.39211000375492\,-0.7376305963084704]\,[-40.22876873283771\,-0.7376305963084704]\,[-40.22876873283771\,36.215017528200015]\,[-105.39211000375492\,36.215017528200015]\,[-105.39211000375492\,-0.7376305963084704]]]}\,""bbox"":[-105.39211000375492\,-0.7376305963084704\,-40.22876873283771\,36.215017528200015]}",06_01_006434,commonwealth:6t053s03n
commonwealth:ht250c299,"Mittel- und Nord-Africa, westl. theil",1848-01-01T00:00:00Z,1848,"ENVELOPE(-38.0\, 22.0\, 39.0\, 0.0)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-2.316\,14.533]}\,""properties"":{""placename"":""West Africa""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-38.0\,0.0]\,[22.0\,0.0]\,[22.0\,39.0]\,[-38.0\,39.0]\,[-38.0\,0.0]]]}\,""bbox"":[-38.0\,0.0\,22.0\,39.0]}",06_01_014622,commonwealth:ht250c302
commonwealth:0r96fm26c,The adventures of Mark Twain,1944-01-01T00:00:00Z,1944,"ENVELOPE(-125.0\, -67.0\, 50.0\, 24.0)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-98.0\,38.0]}\,""properties"":{""placename"":""United States""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-125.0\,24.0]\,[-67.0\,24.0]\,[-67.0\,50.0]\,[-125.0\,50.0]\,[-125.0\,24.0]]]}\,""bbox"":[-125.0\,24.0\,-67.0\,50.0]}",06_01_014727,commonwealth:0r96fm27n
commonwealth:z603vt622,A map of the north west parts of the United States of America,1785-01-01T00:00:00Z,1785,"ENVELOPE(-93.0\, -78.0\, 49.0\, 36.0)","{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-93.0\,36.0]\,[-78.0\,36.0]\,[-78.0\,49.0]\,[-93.0\,49.0]\,[-93.0\,36.0]]]}\,""bbox"":[-93.0\,36.0\,-78.0\,49.0]}",06_01_009559,commonwealth:z603vt63b
commonwealth:3f462z39k,"A new and accurate chart of the Bay of Chesapeak including Delaware Bay with all the shoals, channels, islands, entrances, soundings, & sailing marks as far as the navigable part of the rivers Patowmack Patapsco & N. East",1798-01-01T00:00:00Z,1798,"ENVELOPE(-77.65\, -74.0\, 40.25\, 36.55)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-75.15\,39.05]}\,""properties"":{""placename"":""Delaware Bay""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-77.65\,36.55]\,[-74.0\,36.55]\,[-74.0\,40.25]\,[-77.65\,40.25]\,[-77.65\,36.55]]]}\,""bbox"":[-77.65\,36.55\,-74.0\,40.25]}",06_01_004828,commonwealth:3f462z40b
commonwealth:3f463156t,United Provinces,1823-01-01T00:00:00Z,1823,"ENVELOPE(-76.0\, -47.0\, -12.0\, -41.0)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-64.0\,-34.0]}\,""properties"":{""placename"":""Argentina""}},{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-65.0\,-17.0]}\,""properties"":{""placename"":""Bolivia""}},{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-71.0\,-30.0]}\,""properties"":{""placename"":""Chile""}},{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-58.0\,-23.0]}\,""properties"":{""placename"":""Paraguay""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-76.0\,-41.0]\,[-47.0\,-41.0]\,[-47.0\,-12.0]\,[-76.0\,-12.0]\,[-76.0\,-41.0]]]}\,""bbox"":[-76.0\,-41.0\,-47.0\,-12.0]}",06_01_001370,commonwealth:3f4631573
commonwealth:3f463b102,Spain & Portugal,1868-01-01T00:00:00Z,1868,"ENVELOPE(-9.85\, 3.6\, 43.8\, 35.95)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-8.0\,39.5]}\,""properties"":{""placename"":""Portugal""}},{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-4.0\,40.0]}\,""properties"":{""placename"":""Spain""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-9.85\,35.95]\,[3.6\,35.95]\,[3.6\,43.8]\,[-9.85\,43.8]\,[-9.85\,35.95]]]}\,""bbox"":[-9.85\,35.95\,3.6\,43.8]}",06_01_009434,commonwealth:3f463b11b
commonwealth:3f463850m,"A map of Concord, the old Musketaquid Plantation",1928-01-01T00:00:00Z,1928,"ENVELOPE(-71.43\, -71.28\, 42.51\, 42.41)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-71.3333\,42.45]}\,""properties"":{""placename"":""Concord\, MA""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-71.43\,42.41]\,[-71.28\,42.41]\,[-71.28\,42.51]\,[-71.43\,42.51]\,[-71.43\,42.41]]]}\,""bbox"":[-71.43\,42.41\,-71.28\,42.51]}",06_01_014642,commonwealth:3f463851w
commonwealth:q524n551m,"The island and colony of Cayenne subject to the French, on the continent of South America",1768-01-01T00:00:00Z,1768,"ENVELOPE(-52.49\, -52.11\, 5.05\, 4.74)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-52.3\,4.9167]}\,""properties"":{""placename"":""Cayenne""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-52.49\,4.74]\,[-52.11\,4.74]\,[-52.11\,5.05]\,[-52.49\,5.05]\,[-52.49\,4.74]]]}\,""bbox"":[-52.49\,4.74\,-52.11\,5.05]}",4000137_0117r,commonwealth:q524n552w
